name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00029.tif;45.2505;-167.077;40.7884;-341.761;-163.026;-308.061;-341.363;-19.632;-306.837;-244.218;-162.401;-413.172;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00030.tif;45.4242;-167.077;40.5949;-343.073;-163.026;-306.599;-342.67;-19.632;-305.377;-245.979;-162.401;-412.126;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00031.tif;45.597;-167.077;40.4006;-344.379;-163.026;-305.132;-343.97;-19.632;-303.912;-247.736;-162.401;-411.072;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00032.tif;45.7691;-167.077;40.2056;-345.678;-163.026;-303.659;-345.264;-19.632;-302.441;-249.489;-162.401;-410.011;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00033.tif;45.9403;-167.077;40.0099;-346.971;-163.026;-302.181;-346.552;-19.632;-300.964;-251.237;-162.401;-408.942;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00034.tif;46.1106;-167.077;39.8134;-348.258;-163.026;-300.697;-347.833;-19.632;-299.483;-252.98;-162.401;-407.866;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00035.tif;46.2801;-167.077;39.6162;-349.538;-163.026;-299.208;-349.109;-19.632;-297.995;-254.718;-162.401;-406.783;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00036.tif;46.4488;-167.077;39.4183;-350.812;-163.026;-297.713;-350.377;-19.632;-296.502;-256.452;-162.401;-405.692;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00037.tif;46.6167;-167.077;39.2197;-352.08;-163.026;-296.213;-351.64;-19.632;-295.004;-258.182;-162.401;-404.593;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00038.tif;46.7837;-167.077;39.0204;-353.341;-163.026;-294.707;-352.896;-19.632;-293.5;-259.906;-162.401;-403.488;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00039.tif;46.9498;-167.077;38.8203;-354.596;-163.026;-293.196;-354.145;-19.632;-291.991;-261.626;-162.401;-402.375;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00040.tif;47.115;-167.077;38.6196;-355.844;-163.026;-291.68;-355.389;-19.632;-290.477;-263.341;-162.401;-401.254;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00041.tif;47.2795;-167.077;38.4181;-357.086;-163.026;-290.159;-356.625;-19.632;-288.957;-265.052;-162.401;-400.127;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00042.tif;47.443;-167.077;38.2159;-358.321;-163.026;-288.632;-357.855;-19.632;-287.433;-266.757;-162.401;-398.992;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00043.tif;47.6057;-167.077;38.0131;-359.55;-163.026;-287.1;-359.079;-19.632;-285.902;-268.458;-162.401;-397.849;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00044.tif;47.7675;-167.077;37.8095;-360.772;-163.026;-285.562;-360.296;-19.632;-284.367;-270.154;-162.401;-396.7;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00045.tif;47.9285;-167.077;37.6053;-361.987;-163.026;-284.02;-361.507;-19.632;-282.827;-271.845;-162.401;-395.543;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00046.tif;48.0886;-167.077;37.4004;-363.196;-163.026;-282.472;-362.711;-19.632;-281.281;-273.53;-162.401;-394.379;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00047.tif;48.2478;-167.077;37.1948;-364.399;-163.026;-280.919;-363.908;-19.632;-279.73;-275.211;-162.401;-393.208;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00048.tif;48.4061;-167.077;36.9885;-365.595;-163.026;-279.361;-365.099;-19.632;-278.174;-276.887;-162.401;-392.03;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00049.tif;48.5635;-167.077;36.7815;-366.784;-163.026;-277.798;-366.283;-19.632;-276.613;-278.558;-162.401;-390.844;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00050.tif;48.7201;-167.077;36.5739;-367.966;-163.026;-276.23;-367.46;-19.632;-275.047;-280.224;-162.401;-389.652;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00051.tif;48.8758;-167.077;36.3656;-369.142;-163.026;-274.657;-368.631;-19.632;-273.476;-281.884;-162.401;-388.452;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00052.tif;49.0305;-167.077;36.1567;-370.311;-163.026;-273.079;-369.795;-19.632;-271.9;-283.54;-162.401;-387.245;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00053.tif;49.1844;-167.077;35.9471;-371.473;-163.026;-271.496;-370.952;-19.632;-270.319;-285.19;-162.401;-386.031;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00054.tif;49.3374;-167.077;35.7368;-372.629;-163.026;-269.907;-372.102;-19.632;-268.734;-286.836;-162.401;-384.81;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00055.tif;49.4895;-167.077;35.5259;-373.777;-163.026;-268.314;-373.246;-19.632;-267.143;-288.475;-162.401;-383.583;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00056.tif;49.6407;-167.077;35.3143;-374.919;-163.026;-266.717;-374.383;-19.632;-265.547;-290.11;-162.401;-382.348;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00057.tif;49.791;-167.077;35.1021;-376.054;-163.026;-265.114;-375.513;-19.632;-263.947;-291.74;-162.401;-381.106;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00058.tif;49.9404;-167.077;34.8892;-377.182;-163.026;-263.506;-376.636;-19.632;-262.342;-293.363;-162.401;-379.857;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00059.tif;50.0888;-167.077;34.6757;-378.304;-163.026;-261.894;-377.753;-19.632;-260.732;-294.982;-162.401;-378.602;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00060.tif;50.2364;-167.077;34.4616;-379.418;-163.026;-260.277;-378.862;-19.632;-259.117;-296.596;-162.401;-377.339;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00061.tif;50.383;-167.077;34.2469;-380.526;-163.026;-258.655;-379.965;-19.632;-257.497;-298.204;-162.401;-376.07;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00062.tif;50.5288;-167.077;34.0315;-381.626;-163.026;-257.028;-381.06;-19.632;-255.873;-299.806;-162.401;-374.793;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00063.tif;50.6736;-167.077;33.8155;-382.72;-163.026;-255.397;-382.149;-19.632;-254.244;-301.403;-162.401;-373.51;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00064.tif;50.8174;-167.077;33.5989;-383.807;-163.026;-253.761;-383.231;-19.632;-252.611;-302.995;-162.401;-372.22;
