x,lsf
-20.0,0.0008204287412465766
-19.0,0.0009090118042458498
-18.0,0.0010127558136126362
-17.0,0.0011353285351317153
-16.0,0.0012815777861776634
-15.0,0.0014580181194254731
-14.0,0.0016735688066147104
-13.0,0.0019407030994754932
-12.0,0.002277293089605757
-11.0,0.002709676204825328
-10.0,0.0032779627696084353
-9.0,0.0040456700048347016
-8.0,0.005118230020222135
-7.0,0.006681079561972814
-6.0,0.009085021435539676
-5.0,0.013059312847515266
-4.0,0.020323128158208206
-3.0,0.035681902934441796
-2.0,0.07548964825103228
-1.0,0.18051245537075725
0.0,0.2580024772049174
1.0,0.18319393455449434
2.0,0.07683047515568829
3.0,0.03615513548082298
4.0,0.020529407506818604
5.0,0.013165895520056542
6.0,0.009146904821122024
7.0,0.006720105060514666
8.0,0.005144392035395919
9.0,0.004064051148962651
10.0,0.0032913654253347614
11.0,0.002719747091150627
12.0,0.0022850508570532026
13.0,0.0019468051147666211
14.0,0.0016784545962898576
15.0,0.0014619905465707882
16.0,0.0012848510237465586
17.0,0.0011380574901508026
18.0,0.001015054765287664
19.0,0.0009109665475930372
20.0,0.0008221046987689222
