name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00029.tif;50.0197;-245.618;397.735;-57.0811;-238.888;-453.884;-57.8019;-23.4964;-452.092;156.619;-237.948;-480.877;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00030.tif;51.6993;-245.618;397.52;-58.9979;-238.888;-453.639;-59.7111;-23.4964;-451.843;154.586;-237.948;-481.535;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00031.tif;53.3407;-245.618;397.303;-60.871;-238.888;-453.392;-61.5768;-23.4964;-451.593;152.596;-237.948;-482.169;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00032.tif;54.94;-245.618;397.085;-62.696;-238.888;-453.143;-63.3946;-23.4964;-451.341;150.653;-237.948;-482.78;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00033.tif;56.6563;-245.618;396.844;-64.6547;-238.888;-452.868;-65.3454;-23.4964;-451.063;148.565;-237.948;-483.426;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00034.tif;58.2722;-245.618;396.61;-66.4987;-238.888;-452.601;-67.1821;-23.4964;-450.793;146.594;-237.948;-484.027;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00035.tif;60.0021;-245.618;396.352;-68.4728;-238.888;-452.306;-69.1483;-23.4964;-450.496;144.481;-237.948;-484.662;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00036.tif;61.6008;-245.618;396.107;-70.2971;-238.888;-452.026;-70.9654;-23.4964;-450.213;142.524;-237.948;-485.241;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00037.tif;63.2554;-245.618;395.846;-72.1854;-238.888;-451.728;-72.846;-23.4964;-449.913;140.496;-237.948;-485.833;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00038.tif;64.9114;-245.618;395.577;-74.0752;-238.888;-451.422;-74.7282;-23.4964;-449.604;138.461;-237.948;-486.416;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00039.tif;66.5263;-245.618;395.309;-75.918;-238.888;-451.116;-76.5636;-23.4964;-449.295;136.474;-237.948;-486.978;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00040.tif;68.182;-245.618;395.027;-77.8075;-238.888;-450.794;-78.4454;-23.4964;-448.97;134.432;-237.948;-487.545;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00041.tif;69.8528;-245.618;394.735;-79.7142;-238.888;-450.461;-80.3444;-23.4964;-448.634;132.368;-237.948;-488.11;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00042.tif;71.4915;-245.618;394.441;-81.5841;-238.888;-450.126;-82.2068;-23.4964;-448.297;130.34;-237.948;-488.655;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00043.tif;73.1391;-245.618;394.139;-83.4644;-238.888;-449.781;-84.0794;-23.4964;-447.949;128.297;-237.948;-489.196;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00044.tif;74.8264;-245.618;393.822;-85.3899;-238.888;-449.419;-85.9971;-23.4964;-447.585;126.2;-237.948;-489.741;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00045.tif;76.4361;-245.618;393.513;-87.2268;-238.888;-449.067;-87.8265;-23.4964;-447.23;124.197;-237.948;-490.253;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00046.tif;78.0891;-245.618;393.188;-89.1131;-238.888;-448.696;-89.7051;-23.4964;-446.857;122.136;-237.948;-490.77;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00047.tif;79.7399;-245.618;392.857;-90.9971;-238.888;-448.318;-91.5813;-23.4964;-446.476;120.073;-237.948;-491.279;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00048.tif;81.3457;-245.618;392.528;-92.8295;-238.888;-447.942;-93.4062;-23.4964;-446.098;118.063;-237.948;-491.766;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00049.tif;83.057;-245.618;392.169;-94.7824;-238.888;-447.533;-95.351;-23.4964;-445.686;115.917;-237.948;-492.276;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00050.tif;84.6733;-245.618;391.823;-96.6269;-238.888;-447.138;-97.1879;-23.4964;-445.289;113.886;-237.948;-492.75;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00051.tif;86.3295;-245.618;391.462;-98.5169;-238.888;-446.726;-99.0701;-23.4964;-444.874;111.802;-237.948;-493.227;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00052.tif;87.9194;-245.618;391.108;-100.331;-238.888;-446.322;-100.877;-23.4964;-444.468;109.797;-237.948;-493.677;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00053.tif;89.5794;-245.618;390.731;-102.226;-238.888;-445.892;-102.763;-23.4964;-444.036;107.699;-237.948;-494.139;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00054.tif;91.1852;-245.618;390.359;-104.058;-238.888;-445.467;-104.588;-23.4964;-443.609;105.667;-237.948;-494.578;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00055.tif;92.7976;-245.618;389.979;-105.898;-238.888;-445.034;-106.421;-23.4964;-443.173;103.622;-237.948;-495.01;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00056.tif;94.444;-245.618;389.584;-107.777;-238.888;-444.582;-108.292;-23.4964;-442.72;101.53;-237.948;-495.443;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00057.tif;96.069;-245.618;389.186;-109.631;-238.888;-444.129;-110.138;-23.4964;-442.264;99.4615;-237.948;-495.863;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00058.tif;97.6955;-245.618;388.781;-111.487;-238.888;-443.666;-111.986;-23.4964;-441.8;97.3873;-237.948;-496.274;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00059.tif;99.3469;-245.618;388.362;-113.372;-238.888;-443.189;-113.863;-23.4964;-441.32;95.2774;-237.948;-496.684;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00060.tif;100.924;-245.618;387.955;-115.172;-238.888;-442.724;-115.655;-23.4964;-440.853;93.2583;-237.948;-497.067;
